"PokemonID,PokemonName,MoveName,Category,AppealPoints,JamPoints,Effect"
"20,Ninetales,Fire Blast,Beauty,5,3,""Powerful but may Jam opponent"""
"20,Ninetales,Extrasensory,Smart,4,0,""May cause flinching and startle"""
"20,Ninetales,Safeguard,Smart,2,0,""Prevents Jam from status moves"""
"21,Jigglypuff,Sing,Cute,3,3,""Puts opponent to sleep, badly startling"""
"21,Jigglypuff,Double Slap,Cute,3,0,""Hits 2-5 times for consistent appeal"""
"21,Jigglypuff,Disarming Voice,Cute,3,0,""Never misses, ignores Jam effects"""
"21,Jigglypuff,Play Rough,Cute,4,0,""May lower opponent's Appeal points"""
"22,Wigglytuff,Hyper Voice,Cute,4,0,""Powerful sound-based appeal"""
"22,Wigglytuff,Dazzling Gleam,Beauty,4,0,""Shines brightly for great appeal"""
"22,Wigglytuff,Body Slam,Tough,3,0,""May paralyze and startle opponents"""
"22,Wigglytuff,Rest,Smart,0,0,""Restores all Appeal but sleeps next turn"""
"23,Oddish,Absorb,Smart,2,0,""Basic appeal with healing effect"""
"23,Oddish,Sweet Scent,Cute,3,0,""Makes the crowd excited, increases appeal"""
"23,Oddish,Acid,Smart,2,1,""May lower opponent's Appeal points"""
"23,Oddish,Moonlight,Beauty,2,0,""Better when used last in a turn"""
"24,Gloom,Petal Dance,Beauty,4,2,""Crowd becomes focused on the user"""
"24,Gloom,Toxic,Smart,2,3,""Badly poisons and startles opponent"""
"24,Gloom,Giga Drain,Smart,3,0,""Healing effect increases appeal"""
"24,Gloom,Stun Spore,Smart,2,2,""Paralyzes and startles opponent"""
"25,Vileplume,Solar Beam,Beauty,3,0,""Better if used after a Sunny Day move"""
"25,Vileplume,Aromatherapy,Beauty,3,0,""Removes all Jam points from user's team"""
""
""
"26,Venonat,Supersonic,Smart,2,3,""Confuses and badly startles opponents"""
"26,Venonat,Psybeam,Beauty,3,0,""May confuse and startle opponent"""
"26,Venonat,Signal Beam,Beauty,3,0,""May confuse and startle opponent"""
""
"27,Venomoth,Bug Buzz,Smart,4,0,""May lower opponent's Appeal points"""
"27,Venomoth,Quiver Dance,Beauty,4,0,""Boosts appeal and prevents Jam next turn"""
"27,Venomoth,Psychic,Smart,4,0,""May lower opponent's Appeal points"""
"27,Venomoth,Silver Wind,Beauty,3,0,""May increase all stats and appeal"""
"28,Meowth,Fake Out,Cool,3,3,""Always goes first and startles opponent"""
"28,Meowth,Fury Swipes,Cute,3,0,""Hits 2-5 times for consistent appeal"""
"28,Meowth,Screech,Smart,1,3,""Greatly reduces opponent's Appeal points"""
"28,Meowth,Pay Day,Cool,2,0,""Showers coins for visual appeal"""
"29,Persian,Power Gem,Beauty,4,0,""Shines brightly for great appeal"""
"29,Persian,Slash,Cool,3,0,""High critical hit ratio increases appeal"""
"29,Persian,Swift,Cool,3,0,""Never misses, ignores Jam effects"""
"29,Persian,Play Rough,Cute,4,0,""May lower opponent's Appeal points"""
"30,Psyduck,Water Pulse,Beauty,3,0,""May confuse and startle opponent"""
"30,Psyduck,Confusion,Smart,3,0,""May confuse and startle opponent"""
"30,Psyduck,Screech,Smart,1,3,""Greatly reduces opponent's Appeal points"""
"30,Psyduck,Zen Headbutt,Smart,4,0,""May cause flinching and startle"""
"31,Growlithe,Flamethrower,Beauty,4,0,""May burn and startle opponent"""
"31,Growlithe,Fire Fang,Cool,3,1,""May burn and cause flinching"""
"31,Growlithe,Take Down,Tough,4,3,""Powerful but may Jam user"""
"31,Growlithe,Agility,Cool,2,0,""Makes next move more appealing"""
"32,Arcanine,Extreme Speed,Cool,5,0,""Almost always goes first with great appeal"""
"32,Arcanine,Fire Blast,Beauty,5,3,""Powerful but may Jam opponent"""
"32,Arcanine,Crunch,Tough,4,0,""May lower opponent's Appeal points"""
"32,Arcanine,Flare Blitz,Tough,6,3,""Powerful but reduces user's Appeal"""
"33,Poliwag,Bubble,Beauty,2,0,""Basic water appeal"""
"33,Poliwag,Water Pulse,Beauty,3,0,""May confuse and startle opponent"""
"33,Poliwag,Hypnosis,Smart,2,3,""Puts opponent to sleep, badly startling"""
"33,Poliwag,Bounce,Cool,3,0,""Avoids Jams during execution"""
""
"34,Bellsprout,Acid,Smart,2,1,""May lower opponent's Appeal points"""
"34,Bellsprout,Wrap,Tough,2,2,""Traps and startles opponent over turns"""
"34,Bellsprout,Sweet Scent,Cute,3,0,""Makes the crowd excited, increases appeal"""
"35,Weepinbell,Razor Leaf,Cool,3,1,""High critical hit ratio increases appeal"""
"35,Weepinbell,Poison Jab,Smart,4,0,""May poison and startle opponent"""
"35,Weepinbell,Knock Off,Smart,3,0,""Removes held item for extra appeal"""
"35,Weepinbell,Slam,Tough,3,0,""Basic physical appeal"""
"36,Victreebel,Leaf Blade,Cool,4,0,""High critical hit ratio increases appeal"""
"36,Victreebel,Leaf Storm,Beauty,6,3,""Powerful but reduces user's Appeal"""
"36,Victreebel,Acid Spray,Smart,3,2,""Greatly lowers opponent's Appeal points"""
"36,Victreebel,Gastro Acid,Smart,2,3,""Nullifies ability and badly startles"""
"37,Ponyta,Flame Wheel,Beauty,3,0,""May burn and startle opponent"""
"37,Ponyta,Stomp,Tough,3,0,""May cause flinching and startle"""
"37,Ponyta,Fire Spin,Beauty,2,2,""Traps and startles opponent over turns"""
"37,Ponyta,Agility,Cool,2,0,""Makes next move more appealing"""
"38,Rapidash,Fire Blast,Beauty,5,3,""Powerful but may Jam opponent"""
"38,Rapidash,Flare Blitz,Tough,6,3,""Powerful but reduces user's Appeal"""
"38,Rapidash,Megahorn,Tough,6,3,""Powerful but may Jam opponent"""
"38,Rapidash,Poison Jab,Smart,4,0,""May poison and startle opponent"""
"39,Slowpoke,Water Pulse,Beauty,3,0,""May confuse and startle opponent"""
"39,Slowpoke,Psychic,Smart,4,0,""May lower opponent's Appeal points"""
"39,Slowpoke,Yawn,Smart,2,3,""Makes opponent drowsy next turn"""
"39,Slowpoke,Headbutt,Tough,3,0,""May cause flinching and startle"""
"40,Slowbro,Amnesia,Smart,3,0,""Prevents Jam from special moves"""
""
"40,Slowbro,Psychic,Smart,4,0,""May lower opponent's Appeal points"""
"40,Slowbro,Ice Beam,Beauty,4,0,""May freeze and startle opponent"""
"41,Farfetch'd,Leaf Blade,Cool,4,0,""High critical hit ratio increases appeal"""
"41,Farfetch'd,Air Cutter,Cool,4,0,""High critical hit ratio increases appeal"""
"41,Farfetch'd,Knock Off,Smart,3,0,""Removes held item for extra appeal"""
"41,Farfetch'd,Slash,Cool,3,0,""High critical hit ratio increases appeal"""
"42,Seel,Ice Beam,Beauty,4,0,""May freeze and startle opponent"""
"42,Seel,Aurora Beam,Beauty,3,0,""May lower opponent's Appeal points"""
"42,Seel,Water Pulse,Beauty,3,0,""May confuse and startle opponent"""
"42,Seel,Encore,Cute,2,3,""Forces opponent to repeat move, startling them"""
"43,Dewgong,Sheer Cold,Beauty,6,6,""Powerful but risky, may Jam user"""
""
"43,Dewgong,Signal Beam,Beauty,3,0,""May confuse and startle opponent"""
"43,Dewgong,Rest,Smart,0,0,""Restores all Appeal but sleeps next turn"""
"44,Shellder,Icicle Spear,Cool,3,0,""Hits 2-5 times for consistent appeal"""
"44,Shellder,Water Gun,Beauty,2,0,""Basic water appeal"""
"44,Shellder,Protect,Smart,0,0,""Avoids Jams for one turn"""
"44,Shellder,Clamp,Tough,2,2,""Traps and startles opponent over turns"""
"45,Cloyster,Icicle Crash,Cool,4,0,""May cause flinching and startle"""
"45,Cloyster,Hydro Pump,Beauty,5,3,""Powerful but may Jam opponent"""
"45,Cloyster,Spike Cannon,Cool,3,0,""Hits 2-5 times for consistent appeal"""
"45,Cloyster,Aurora Beam,Beauty,3,0,""May lower opponent's Appeal points"""
"46,Gastly,Shadow Ball,Smart,4,0,""May lower opponent's Appeal points"""
"46,Gastly,Sludge Bomb,Smart,4,0,""May poison and startle opponent"""
"46,Gastly,Confuse Ray,Smart,2,3,""Confuses and badly startles"""
"46,Gastly,Night Shade,Smart,3,0,""Consistent damage for steady appeal"""
""
"47,Haunter,Shadow Punch,Cool,3,0,""Never misses, ignores Jam effects"""
"47,Haunter,Hex,Smart,4,0,""More powerful if opponent has status condition"""
"47,Haunter,Will-O-Wisp,Beauty,3,1,""Burns and startles opponent"""
"48,Gengar,Shadow Ball,Smart,4,0,""May lower opponent's Appeal points"""
"48,Gengar,Sludge Wave,Beauty,4,1,""May poison and startle opponents"""
"48,Gengar,Dark Pulse,Smart,4,0,""May cause flinching and startle"""
"48,Gengar,Perish Song,Smart,1,4,""Dramatic effect that startles all after 3 turns"""
"49,Voltorb,Thunderbolt,Cool,4,0,""May paralyze and startle opponents"""
"49,Voltorb,Swift,Cool,3,0,""Never misses, ignores Jam effects"""
"49,Voltorb,Light Screen,Smart,2,0,""Reduces Jam from special moves"""
"49,Voltorb,Charge Beam,Smart,3,0,""May boost user's Appeal points"""
"50,Electrode,Thunder,Cool,5,0,""Better during Rain, may paralyze"""
"50,Electrode,Explosion,Tough,6,6,""Powerful but user faints, drastic effect"""
"50,Electrode,Signal Beam,Beauty,3,0,""May confuse and startle opponent"""
"50,Electrode,Mirror Coat,Smart,0,0,""Counters with double Appeal if hit by special move"""
"51,Cubone,Bone Club,Tough,3,0,""May cause flinching and startle"""
"51,Cubone,Headbutt,Tough,3,0,""May cause flinching and startle"""
"51,Cubone,Bonemerang,Tough,4,0,""Hits twice for consistent appeal"""
"51,Cubone,False Swipe,Cool,2,0,""Never KOs, shows control for appeal"""
"52,Marowak,Bone Rush,Tough,4,0,""Hits 2-5 times for consistent appeal"""
"52,Marowak,Earthquake,Tough,5,3,""Powerful but may Jam allies"""
"52,Marowak,Focus Energy,Smart,2,0,""Next move has increased Appeal"""
"52,Marowak,Retaliate,Tough,4,0,""More powerful if ally fainted last turn"""
"53,Lickitung,Body Slam,Tough,3,0,""May paralyze and startle opponents"""
"53,Lickitung,Stomp,Tough,3,0,""May cause flinching and startle"""
"53,Lickitung,Power Whip,Tough,5,3,""Powerful but may Jam user"""
"53,Lickitung,Disable,Smart,2,3,""Disables opponent's last move, startling them"""
"54,Rhyhorn,Horn Attack,Tough,2,0,""Basic appeal with no special effects"""
"54,Rhyhorn,Tail Whip,Cute,1,1,""Reduces opponent's Appeal points"""
"54,Rhyhorn,Stomp,Tough,3,0,""May cause flinching and startle"""
"54,Rhyhorn,Rock Blast,Tough,3,0,""Hits 2-5 times for consistent appeal"""
"55,Rhydon,Stone Edge,Tough,5,3,""High critical hit ratio, may Jam opponent"""
"55,Rhydon,Megahorn,Tough,6,3,""Powerful but may Jam opponent"""
"55,Rhydon,Drill Run,Tough,4,0,""High critical hit ratio increases appeal"""
"55,Rhydon,Hammer Arm,Tough,5,3,""Powerful but reduces user's Speed appeal"""
"56,Chansey,Soft-Boiled,Cute,3,0,""Healing move that pleases the crowd"""
"56,Chansey,Sing,Cute,3,3,""Puts opponent to sleep, badly startling"""
"56,Chansey,Minimize,Cute,2,0,""Makes user harder to Jam next turn"""
"56,Chansey,Egg Bomb,Tough,4,0,""Powerful explosive appeal"""
"57,Horsea,Bubble Beam,Beauty,3,0,""May lower opponent's Speed appeal"""
"57,Horsea,Dragon Breath,Cool,3,0,""May paralyze and startle opponent"""
"57,Horsea,Water Pulse,Beauty,3,0,""May confuse and startle opponent"""
"57,Horsea,Twister,Beauty,3,2,""May flinch and startle opponents"""
"58,Seadra,Hydro Pump,Beauty,5,3,""Powerful but may Jam opponent"""
"58,Seadra,Dragon Pulse,Smart,4,0,""Powerful and consistent appeal"""
"58,Seadra,Agility,Cool,2,0,""Makes next move more appealing"""
"58,Seadra,Signal Beam,Beauty,3,0,""May confuse and startle opponent"""
"59,Goldeen,Waterfall,Tough,3,0,""May cause flinching and startle"""
"59,Goldeen,Horn Attack,Tough,2,0,""Basic appeal with no special effects"""
"59,Goldeen,Aqua Ring,Beauty,2,0,""Continuous healing pleases crowd"""
"59,Goldeen,Soak,Smart,2,1,""Changes opponent's type, startling them"""
"60,Seaking,Megahorn,Tough,6,3,""Powerful but may Jam opponent"""
"60,Seaking,Poison Jab,Smart,4,0,""May poison and startle opponent"""
"60,Seaking,Horn Drill,Tough,6,6,""High risk, high reward appeal"""
"60,Seaking,Waterfall,Tough,3,0,""May cause flinching and startle"""
"61,Staryu,Water Gun,Beauty,2,0,""Basic water appeal"""
"61,Staryu,Swift,Cool,3,0,""Never misses, ignores Jam effects"""
"61,Staryu,Light Screen,Smart,2,0,""Reduces Jam from special moves"""
"61,Staryu,Power Gem,Beauty,4,0,""Shines brightly for great appeal"""
"62,Starmie,Psychic,Smart,4,0,""May lower opponent's Appeal points"""
""
"62,Starmie,Thunderbolt,Cool,4,0,""May paralyze and startle opponents"""
"62,Starmie,Dazzling Gleam,Beauty,4,0,""Shines brightly for great appeal"""
"63,Jynx,Lovely Kiss,Beauty,3,3,""Puts opponent to sleep, badly startling"""
"63,Jynx,Ice Punch,Beauty,3,0,""May freeze and startle opponent"""
"63,Jynx,Psychic,Smart,4,0,""May lower opponent's Appeal points"""
"63,Jynx,Perish Song,Smart,1,4,""Dramatic effect that startles all after 3 turns"""
"64,Magikarp,Splash,Cute,1,0,""Basic appeal with no effect"""
"64,Magikarp,Flail,Tough,2,0,""More powerful at low HP for dramatic effect"""
"64,Magikarp,Tackle,Tough,2,0,""Basic appeal with no special effects"""
"64,Magikarp,Struggle,Tough,1,0,""Used only if no other moves left, poor appeal"""
"65,Gyarados,Hydro Pump,Beauty,5,3,""Powerful but may Jam opponent"""
"65,Gyarados,Dragon Dance,Cool,3,0,""Boosts user's Appeal points"""
"65,Gyarados,Crunch,Tough,4,0,""May lower opponent's Appeal points"""
"65,Gyarados,Hyper Beam,Cool,6,6,""User cannot perform next turn, reduces appeal"""
"66,Lapras,Ice Beam,Beauty,4,0,""May freeze and startle opponent"""
""
"66,Lapras,Sing,Cute,3,3,""Puts opponent to sleep, badly startling"""
"66,Lapras,Perish Song,Smart,1,4,""Dramatic effect that startles all after 3 turns"""
"67,Ditto,Transform,Cute,0,0,""Copies opponent's moves and Appeal"""
"67,Ditto,Struggle,Tough,1,0,""Used only if no other moves left, poor appeal"""
"68,Eevee,Quick Attack,Cool,2,0,""Goes first to prevent Jam"""
"68,Eevee,Tackle,Tough,2,0,""Basic appeal with no special effects"""
"68,Eevee,Tail Whip,Cute,1,1,""Reduces opponent's Appeal points"""
"68,Eevee,Charm,Cute,3,0,""Greatly reduces opponent's Appeal points"""
"69,Vaporeon,Water Pulse,Beauty,3,0,""May confuse and startle opponent"""
"69,Vaporeon,Aurora Beam,Beauty,3,0,""May lower opponent's Appeal points"""
"69,Vaporeon,Acid Armor,Smart,3,0,""Dramatic defense boost pleases crowd"""
"69,Vaporeon,Haze,Smart,1,3,""Resets all Appeal changes, startling opponents"""
"70,Jolteon,Thunderbolt,Cool,4,0,""May paralyze and startle opponents"""
"70,Jolteon,Double Kick,Cool,2,0,""Hits twice for consistent appeal"""
"70,Jolteon,Agility,Cool,2,0,""Makes next move more appealing"""
"70,Jolteon,Thunder Wave,Smart,2,2,""Paralyzes and startles opponent"""
"71,Flareon,Flamethrower,Beauty,4,0,""May burn and startle opponent"""
"71,Flareon,Fire Spin,Beauty,2,2,""Traps and startles opponent over turns"""
"71,Flareon,Quick Attack,Cool,2,0,""Goes first to prevent Jam"""
"71,Flareon,Scary Face,Tough,1,3,""Greatly reduces opponent's Speed appeal"""
"72,Porygon,Psybeam,Beauty,3,0,""May confuse and startle opponent"""
"72,Porygon,Recover,Smart,2,0,""Healing move that pleases crowd"""
"72,Porygon,Conversion,Smart,0,0,""Changes type to match move, surprises crowd"""
"72,Porygon,Sharpen,Cool,2,0,""Boosts physical appeal next turn"""
"73,Snorlax,Body Slam,Tough,3,0,""May paralyze and startle opponents"""
"73,Snorlax,Rest,Smart,0,0,""Restores all Appeal but sleeps next turn"""
"73,Snorlax,Crunch,Tough,4,0,""May lower opponent's Appeal points"""
"73,Snorlax,Hyper Beam,Cool,6,6,""User cannot perform next turn, reduces appeal"""
"74,Articuno,Ice Beam,Beauty,4,0,""May freeze and startle opponent"""
"74,Articuno,Hurricane,Beauty,5,3,""May confuse and badly startle opponents"""
"74,Articuno,Mind Reader,Smart,2,0,""Ensures next move won't be Jammed"""
"74,Articuno,Sheer Cold,Beauty,6,6,""Powerful but risky, may Jam user"""
"75,Zapdos,Thunder,Cool,5,0,""Better during Rain, may paralyze"""
"75,Zapdos,Drill Peck,Cool,4,0,""High critical hit ratio increases appeal"""
"75,Zapdos,Light Screen,Smart,2,0,""Reduces Jam from special moves"""
"75,Zapdos,Agility,Cool,2,0,""Makes next move more appealing"""
"76,Moltres,Flamethrower,Beauty,4,0,""May burn and startle opponent"""
"76,Moltres,Fire Blast,Beauty,5,3,""Powerful but may Jam opponent"""
"76,Moltres,Sky Attack,Cool,6,3,""Powerful but charges first turn"""
"76,Moltres,Heat Wave,Beauty,4,2,""May burn and startle opponents"""
"77,Dratini,Dragon Rage,Cool,3,0,""Consistent damage for steady appeal"""
"77,Dratini,Twister,Beauty,3,2,""May flinch and startle opponents"""
"77,Dratini,Leer,Cool,1,1,""Reduces opponent's Appeal points"""
"77,Dratini,Thunder Wave,Smart,2,2,""Paralyzes and startles opponent"""
"78,Dragonair,Dragon Pulse,Smart,4,0,""Powerful and consistent appeal"""
"78,Dragonair,Thunder Wave,Smart,2,2,""Paralyzes and startles opponent"""
"78,Dragonair,Agility,Cool,2,0,""Makes next move more appealing"""
"78,Dragonair,Slam,Tough,3,0,""Basic physical appeal"""
"79,Dragonite,Outrage,Tough,6,6,""Powerful but confuses user afterwards"""
"79,Dragonite,Hurricane,Beauty,5,3,""May confuse and badly startle opponents"""
"79,Dragonite,Fire Blast,Beauty,5,3,""Powerful but may Jam opponent"""
"79,Dragonite,Extreme Speed,Cool,5,0,""Almost always goes first with great appeal"""
"80,Mew,Psychic,Smart,4,0,""May lower opponent's Appeal points"""
"80,Mew,Transform,Cute,0,0,""Copies opponent's moves and Appeal"""
"80,Mew,Metronome,Cute,0,0,""Random move with random Appeal"""
"80,Mew,Aura Sphere,Smart,4,0,""Never misses, ignores Jam effects"""
"81,Chikorita,Razor Leaf,Cool,3,1,""High critical hit ratio increases appeal"""
"81,Chikorita,Synthesis,Smart,2,0,""Better when used last in a turn"""
"81,Chikorita,Petal Dance,Beauty,4,2,""Crowd becomes focused on the user"""
"81,Chikorita,Body Slam,Tough,3,0,""May paralyze and startle opponents"""
"82,Bayleef,Magical Leaf,Beauty,4,0,""Never misses and ignores Jam effects"""
"82,Bayleef,Reflect,Smart,2,0,""Reduces Jam from physical moves"""
"82,Bayleef,Poison Powder,Smart,2,2,""Poisons and startles opponent"""
"82,Bayleef,Light Screen,Smart,2,0,""Reduces Jam from special moves"""
"83,Meganium,Solar Beam,Beauty,3,0,""Better if used after a Sunny Day move"""
"83,Meganium,Aromatherapy,Beauty,3,0,""Removes all Jam points from user's team"""
"83,Meganium,Ancient Power,Tough,3,0,""May boost all Appeal points"""
"83,Meganium,Earthquake,Tough,5,3,""Powerful but may Jam allies"""
"84,Totodile,Water Gun,Beauty,2,0,""Basic water appeal"""
"84,Totodile,Crunch,Tough,4,0,""May lower opponent's Appeal points"""
"84,Totodile,Ice Fang,Cool,3,1,""May freeze or cause flinching"""
"84,Totodile,Scary Face,Tough,1,3,""Greatly reduces opponent's Speed appeal"""
"85,Sentret,Quick Attack,Cool,2,0,""Goes first to prevent Jam"""
"85,Sentret,Slam,Tough,3,0,""Basic physical appeal"""
"85,Sentret,Amnesia,Smart,3,0,""Prevents Jam from special moves"""
"85,Sentret,Rest,Smart,0,0,""Restores all Appeal but sleeps next turn"""
"86,Furret,Hyper Voice,Cute,4,0,""Powerful sound-based appeal"""
"86,Furret,Double-Edge,Tough,5,3,""Powerful but may Jam user"""
"86,Furret,Follow Me,Cute,0,0,""Draws attention, protects allies from Jam"""
"86,Furret,Sucker Punch,Smart,3,0,""Goes first if opponent selected damaging move"""
"87,Hoothoot,Peck,Cool,2,0,""Basic appeal with no special effects"""
"87,Hoothoot,Hypnosis,Smart,2,3,""Puts opponent to sleep, badly startling"""
"87,Hoothoot,Reflect,Smart,2,0,""Reduces Jam from physical moves"""
""
"88,Noctowl,Air Slash,Cool,4,1,""May cause flinching and startle"""
"88,Noctowl,Extrasensory,Smart,4,0,""May cause flinching and startle"""
"88,Noctowl,Moonblast,Beauty,5,0,""May lower opponent's Appeal points"""
"88,Noctowl,Hurricane,Beauty,5,3,""May confuse and badly startle opponents"""
"89,Ledyba,Comet Punch,Cute,3,0,""Hits 2-5 times for consistent appeal"""
"89,Ledyba,Mach Punch,Cool,3,0,""Always goes first to prevent Jam"""
"89,Ledyba,Light Screen,Smart,2,0,""Reduces Jam from special moves"""
"89,Ledyba,Silver Wind,Beauty,3,0,""May increase all stats and appeal"""
"90,Ledian,Bug Buzz,Smart,4,0,""May lower opponent's Appeal points"""
"90,Ledian,Air Slash,Cool,4,1,""May cause flinching and startle"""
"90,Ledian,Drain Punch,Smart,3,0,""Healing effect increases appeal"""
"90,Ledian,Reflect,Smart,2,0,""Reduces Jam from physical moves"""
"91,Pichu,Thunder Shock,Cool,2,0,""Basic electric appeal"""
"91,Pichu,Charm,Cute,3,0,""Greatly reduces opponent's Appeal points"""
"91,Pichu,Sweet Kiss,Cute,2,3,""Confuses and badly startles opponent"""
"91,Pichu,Nasty Plot,Smart,3,0,""Dramatically boosts special appeal next turn"""
"92,Cleffa,Pound,Cute,2,0,""Basic appeal with no special effects"""
"92,Cleffa,Copycat,Cute,0,0,""Copies last move used with +1 Appeal"""
"92,Cleffa,Magical Leaf,Beauty,4,0,""Never misses and ignores Jam effects"""
"92,Cleffa,Metronome,Cute,0,0,""Random move with random Appeal"""
"93,Igglybuff,Sing,Cute,3,3,""Puts opponent to sleep, badly startling"""
